ts,Gen 1,Gen 2,Gen 3,Gen 4
30/05/2019 23:16:06,64.16772461,14.54534245,64.15036011,51.56603241
30/05/2019 23:15:06,66.44124603,23.31428337,64.19007111,46.90389633
30/05/2019 23:14:06,66.409729,32.58194351,64.84561157,39.29486084
30/05/2019 23:13:06,67.08654022,42.43382645,66.03814697,29.06960487
30/05/2019 23:12:06,67.35915375,53.76456451,66.50382233,29.6089325
30/05/2019 23:11:06,67.24489594,62.26197052,67.38627625,15.81918335
30/05/2019 23:10:06,67.08372498,63.11484909,66.66650391,21.42715073
30/05/2019 23:09:06,65.40840912,63.27035522,64.78921509,65.65408325
30/05/2019 23:08:06,63.63800812,63.2722702,63.55158234,92.07483673
30/05/2019 23:07:06,63.53528976,61.09008408,61.65165329,93.44149017
30/05/2019 23:06:06,63.45898819,62.74933624,61.69819641,94.20524597
30/05/2019 23:05:06,63.38268661,63.31647873,61.76663589,100.2350235
30/05/2019 23:04:06,63.27877426,63.36507797,61.84964371,102.0923691
30/05/2019 23:03:06,63.120327,63.32503891,62.53754425,105.3569412
30/05/2019 23:02:06,62.96187973,62.92299271,62.75271225,106.6613007
30/05/2019 23:01:06,62.80343246,62.18146133,62.4247818,106.7228622
30/05/2019 23:00:06,62.73730087,61.72119522,62.09685135,106.0654526
30/05/2019 22:59:06,63.51746368,61.50764465,61.96582031,107.156456
30/05/2019 22:58:06,68.5059967,61.66030884,62.11828613,107.4425583
30/05/2019 22:57:06,74.13316345,61.33612442,61.826828,109.0305939
30/05/2019 22:56:06,80.75775146,61.14844894,73.14853668,109.7812347
30/05/2019 22:55:06,86.40917206,61.41708755,77.52362061,109.8205338
30/05/2019 22:54:06,88.77588654,61.40837097,78.442276,109.2734604
30/05/2019 22:53:06,89.08455658,62.07566452,77.95420837,109.7684021
30/05/2019 22:52:06,89.11385345,62.55384445,78.30545807,109.9583206
30/05/2019 22:51:06,89.14315033,62.52175903,78.59871674,110.419754
30/05/2019 22:50:06,89.1724472,62.42892838,78.58447266,109.9392319
30/05/2019 22:49:06,89.20174408,62.44732666,78.76178741,108.1298294
30/05/2019 22:48:06,89.23104095,62.10665894,78.25504303,109.4883652
30/05/2019 22:47:06,89.41191864,63.36128235,78.39912415,108.872612
30/05/2019 22:46:06,89.60769653,63.00823212,78.98872375,108.9342194
30/05/2019 22:45:06,89.44208527,61.88410568,77.66190338,108.8694382
30/05/2019 22:44:06,89.49937439,62.58886337,78.97499847,108.1730347
30/05/2019 22:43:06,89.55667114,63.45479584,79.15496063,107.766449
30/05/2019 22:42:06,89.50286865,63.31504822,79.18630219,107.8396912
30/05/2019 22:41:06,89.24524689,63.3959198,79.13126373,107.6534958
30/05/2019 22:40:06,88.49324799,63.4277916,79.07623291,105.9605179
30/05/2019 22:39:06,86.46614075,61.86346436,78.44398499,105.5763626
30/05/2019 22:38:06,84.66225433,61.91870499,78.48671722,106.2556458
30/05/2019 22:37:06,83.22477722,62.38560486,78.81777191,105.6043243
30/05/2019 22:36:06,81.52555847,60.87967682,77.33319092,105.1334381
30/05/2019 22:35:06,79.82633972,59.47888565,74.58242798,104.7037506
30/05/2019 22:34:06,77.45558929,59.13820267,73.71665192,103.3784103
30/05/2019 22:33:06,74.13180542,59.22190857,75.34468842,103.097908
30/05/2019 22:32:06,68.66041565,60.86064911,66.33833313,103.3743744
30/05/2019 22:31:06,64.29679108,60.74783325,61.25558472,103.1364441
30/05/2019 22:30:06,63.39330292,60.5846405,61.00958633,103.9710999
30/05/2019 22:29:06,63.40776825,61.06647873,62.3118248,102.9999924
30/05/2019 22:28:06,63.42223358,60.3481102,61.16175842,102.5501022
30/05/2019 22:27:06,63.43669891,60.82490158,61.52347946,103.125412
30/05/2019 22:26:06,63.42676926,60.74359894,61.0150795,104.1445465
30/05/2019 22:25:06,63.35069275,59.94454575,61.26312637,102.7160187
30/05/2019 22:24:06,63.27462006,60.23492432,61.15557861,104.631485
30/05/2019 22:23:06,63.28078461,59.5169487,60.04173279,102.0190125
30/05/2019 22:22:06,63.4622879,60.88393784,61.17366791,104.6840286
30/05/2019 22:21:06,63.4600563,60.66636276,60.80257416,104.2612381
30/05/2019 22:20:06,63.45782471,60.74080276,61.32123947,102.7818222
30/05/2019 22:19:06,63.45559311,61.63565826,62.02730942,104.6569748
30/05/2019 22:18:06,63.45336151,62.2204628,63.02532196,105.1647186
30/05/2019 22:17:06,63.45112991,61.50014496,61.95587921,104.7510834
30/05/2019 22:16:06,63.4488945,63.15343094,63.44657898,104.9134598
30/05/2019 22:15:06,63.55620193,63.19500732,63.42473984,104.5533295
30/05/2019 22:14:06,63.733284,63.02850342,63.39380264,105.5606079
30/05/2019 22:13:06,63.43278122,62.91851425,63.00285721,104.8473969
30/05/2019 22:12:06,63.54159546,63.09236145,63.11955261,105.1727219
30/05/2019 22:11:06,63.74476242,63.16219711,63.09474564,104.9292145
30/05/2019 22:10:06,63.97344589,62.80759048,63.03482819,105.4411011
30/05/2019 22:09:06,64.64868164,63.23086929,63.63549423,105.1133041
30/05/2019 22:08:06,63.63610458,63.2858429,63.48247528,105.913269
30/05/2019 22:07:06,64.72799683,63.34081268,63.60747528,105.7289658
30/05/2019 22:06:06,64.38861847,63.56101608,63.90758133,105.7952042
30/05/2019 22:05:06,65.44078827,64.32764435,64.44762421,106.722908
30/05/2019 22:04:06,65.99311829,64.15804291,64.44179535,105.6960373
